"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Denmark","DNK","Net migration","SM.POP.NETM","","","2256","","","","","21866","","","","","23256","","","","","14925","","","","","9319","","","","","32839","","","","","65466","","","","","74568","","","","","46306","","","","","87989","","","","","106841","","","","","",
"Denmark","DNK","Children in employment, wage workers (% of children in employment, ages 7-14)","SL.WAG.0714.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","SL.WAG.0714.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","SL.WAG.0714.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.10000038146973","9","10.6999998092651","8","7","6.80000019073486","5.40000009536743","5","5.09999990463257","4.5","4.19999980926514","4.30000019073486","5.40000009536743","5.19999980926514","4.80000019073486","3.90000009536743","3.79999995231628","3.40000009536743","6","7.5","7.59999990463257","7.5","7","6.59999990463257","6.19999980926514","6.19999980926514","6.30000019073486",
"Denmark","DNK","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","0.899999976158142","2.09999990463257","5.09999990463257","5.30000019073486","6.40000009536743","7.30000019073486","6.09999990463257","7","9.19999980926514","10","9.69999980926514","8.89999961853027","7.80000019073486","6","6.09999990463257","6.5","8.19999980926514","8.30000019073486","9.10000038146973","9","10.6999998092651","8","7","6.80000019073486","5.40000009536743","5","5.09999990463257","4.5","4.19999980926514","4.30000019073486","5.40000009536743","5.19999980926514","4.80000019073486","3.90000009536743","3.79999995231628","3.40000009536743","6","7.5","7.59999990463257","7.5","7","6.59999990463257","6.19999980926514","6.19999980926514","",
"Denmark","DNK","Unemployment, male (% of male labor force) (modeled ILO estimate)","SL.UEM.TOTL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.30000019073486","8.30000019073486","10.3999996185303","7.19999980926514","5.59999990463257","5.5","4.5","3.90000009536743","4.5","4.09999990463257","3.59999990463257","4.30000019073486","5.09999990463257","5","4.40000009536743","3.29999995231628","3.5","3.20000004768372","6.59999990463257","8.39999961853027","7.69999980926514","7.5","6.80000019073486","6.40000009536743","5.90000009536743","5.80000019073486","5.90000009536743",
"Denmark","DNK","Unemployment, male (% of male labor force) (national estimate)","SL.UEM.TOTL.MA.NE.ZS","","","","","","","","","","","","","","1.10000002384186","2.5","5.80000019073486","5.5","6.09999990463257","6.59999990463257","5.09999990463257","6.5","9.19999980926514","9.69999980926514","9.19999980926514","7.80000019073486","6.40000009536743","4.59999990463257","5.19999980926514","5.80000019073486","7.5","7.80000019073486","8.30000019073486","8.30000019073486","10.3999996185303","7.19999980926514","5.59999990463257","5.5","4.5","3.79999995231628","4.5","4","3.59999990463257","4.19999980926514","5.09999990463257","5","4.40000009536743","3.29999995231628","3.40000009536743","3.20000004768372","6.59999990463257","8.39999961853027","7.69999980926514","7.5","6.80000019073486","6.40000009536743","5.90000009536743","5.80000019073486","",
"Denmark","DNK","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","9.89999961853027","11.1000003814697","9","8.60000038146973","8.39999961853027","6.5","6.40000009536743","5.90000009536743","5","4.80000019073486","4.30000019073486","5.69999980926514","5.40000009536743","5.30000019073486","4.5","4.19999980926514","3.70000004768372","5.30000019073486","6.5","7.5","7.5","7.30000019073486","6.80000019073486","6.40000009536743","6.59999990463257","6.69999980926514",
"Denmark","DNK","Unemployment, female (% of female labor force) (national estimate)","SL.UEM.TOTL.FE.NE.ZS","","","","","","","","","","","","","","0.5","1.5","3.90000009536743","5","6.90000009536743","8.30000019073486","7.40000009536743","7.59999990463257","9.19999980926514","10","10.3999996185303","10.1999998092651","9.5","7.80000019073486","7.09999990463257","7.30000019073486","8.89999961853027","8.89999961853027","10","9.89999961853027","11.1000003814697","9","8.60000038146973","8.39999961853027","6.40000009536743","6.40000009536743","5.90000009536743","5","4.80000019073486","4.30000019073486","5.80000019073486","5.40000009536743","5.30000019073486","4.5","4.19999980926514","3.70000004768372","5.30000019073486","6.5","7.5","7.59999990463257","7.30000019073486","6.80000019073486","6.40000009536743","6.59999990463257","",
"Denmark","DNK","Share of youth not in education, employment or training, total (% of youth population)","SL.UEM.NEET.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.40000009536743","5.40000009536743","4.30000019073486","3.59999990463257","4.30000019073486","4.30000019073486","5.40000009536743","6","6.19999980926514","6.59999990463257","6","5.80000019073486","6.19999980926514","5.80000019073486","",
